"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ITS310","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","57cffdfc59820b669311337004ad425c"
"ITS311","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9977534","71c92587029c75e6761fa762ad75f7ed"
"ITS312","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","0.7140358","812937f2ccc7325a58ac81d137814c8e"
"ITS313","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9773036","4241e3c2e485587a7d162b9a6c7fb12b"
"ITS314","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","0.7988365","175255180be1062289ef965a721bc374"
"ITS315","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","0.8293420","338faea7c24a3b6ac041603055a731e6"
"ITS316","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8932684","1ae7c264e6d12ab218f60e37071fcbb7"
"ITS317","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","7e6f461c5c8bfefb89c6d2223dca634c"
"ITS318","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","479ee22446542592ec50049b356a55ee"
"ITS319","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9962630","2f07e407b979e12042b1cd10df03f4b8"
"ITS320","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporonaceae","Trichosporonaceae","0.9988297","d196e488a35dafedb9c04dd8ae7d0048"
"ITS321","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella_luteola","0.9999946","e0a6512e1d802afba6989c3ecd9a5500"
"ITS322","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","7baaacd63e168a271621ca76c4a66030"
"ITS323","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_fusarioides","0.9956042","97609ac2d9df137d9976f9ecb9ebb0f4"
"ITS324","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9720124","562ffaf9b553092b924f2bf10b8518df"
"ITS325","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Ramularia","Ramularia_pratensis","0.9709830","48e0f8bfb7fcff53a2ab1b6bb0c8d0f3"
"ITS326","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7477847","475c530f87ef9cc7f7e78771943f5ac6"
"ITS327","Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","0.9999933","fcf45a042e004afaae6bc66e5d505d23"
"ITS328","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9647947","47ec8740c978403842e723ad6411c7ad"
"ITS329","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Chrysosporium","Chrysosporium_synchronum","0.9993251","5ff02e2cf4968709877d936dd5056b03"
"ITS330","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kazachstania","Kazachstania_humilis","0.9999978","f08d0f2880ceebb929df0a3c29989eee"
"ITS331","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporonaceae","Trichosporonaceae","0.9984722","3600fe3213dfb8da0e051e3310ba249c"
"ITS332","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9999901","82c6ce91cdaec09812114ce0c3a65221"
"ITS333","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Ramularia","Ramularia_pratensis","0.9657926","9e2c8f7f51cd21cd5ac4232f496237f4"
"ITS334","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7275780","ce86d66ec054194306aec8e9317bb4e8"
"ITS335","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","7e8517a8c7103948727ad62dafc7b999"
"ITS336","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9977609","2c80da4e9b4bda51f2048ab3efc5bf01"
"ITS337","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9848492","5c312cd223b9e2e3815ecd61046cb0b5"
"ITS338","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7538754","5e9393f29f2ee539ef72fe003f1de7ae"
"ITS339","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","0.7097297","888ba0ba552e76f31c9b3db7e7f7353f"
"ITS340","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9777381","84f721d0564f640286efdae8ad46faf6"
"ITS341","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporonaceae","Trichosporonaceae","0.9980852","62bd7ee0ba120ac3ee8af92aa29182f3"
"ITS342","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9923105","caada0afaebea96e454972a60aa75b0f"
"ITS343","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9997247","498daede6dc63cef11c116d7bc069c20"
"ITS344","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","0.9949678","d9e2983ba7dfe9ffd04e5655757b88e5"
"ITS345","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Ramophialophora","Ramophialophora_humicola","0.9997175","d24939bc5cd587e5e6b3614bd12206fb"
"ITS346","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9928191","682297b6a6da55b388fa59cd0b3fadd8"
"ITS347","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","961a53a7e31b9e52ae40f5a3dc924a03"
"ITS348","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9915219","9c4df2b55939da97e4c580984071c319"
"ITS349","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","unidentified","0.9872133","347de44b44ce2dc80fdd341ec78dc46a"
"ITS350","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9857492","115e9d5544bcb6fed98e7f56ccc21544"
"ITS351","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.9281694","7bf442525008991f85fca30e445545a1"
"ITS352","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces","Debaryomyces","0.9997196","c92edfbe94d5c7c66264c1b28117bcfe"
"ITS353","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella_luteola","0.9999946","c04beef63150f63452a6c1e504c1cd5b"
